ID,prefLabel,altLabel,definition,broader,exactMatch,closeMatch
https://soilwise-he.github.io/soil-health#Acidifiers,acidifiers,,,soil anion content; soil cation content,,
https://soilwise-he.github.io/soil-health#AcidityExchangeable,acidity exchangeable,,Exchangeable acidity represents the amount of hydrogen (H⁺) and aluminum (Al³⁺) ions adsorbed onto soil particles that can be exchanged with the soil solution. It is a key factor in determining soil liming requirements and improving nutrient availability in acidic soils. Source: Brady & Weil (2017).,exchangeable cation,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aciexc,
https://soilwise-he.github.io/soil-health#Adsorption,adsorption,,,derived soil properties,,
https://soilwise-he.github.io/soil-health#AerationPorosity,aeration porosity,,,soil porosity index,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AerationPorosity,
https://soilwise-he.github.io/soil-health#AggregatedSiltClay,aggregated silt clay,,,soil structure indirect index,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AggregatedSiltClay,
https://soilwise-he.github.io/soil-health#AgriculturalSustainability,agricultural sustainability,,,soil agricultural functions,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AgriculturalSustainability,
https://soilwise-he.github.io/soil-health#AirFilledPorosity,air filled porosity,,,soil porosity,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirFilledPorosity,
https://soilwise-he.github.io/soil-health#AirPorosity,air porosity,,,soil porosity,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirPorosity,
https://soilwise-he.github.io/soil-health#AirQuality,air quality,,,soil environmental functions,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirQuality,
https://soilwise-he.github.io/soil-health#AirRatio,air ratio,,,soil porosity,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AirRatio,
https://soilwise-he.github.io/soil-health#AlgalGrowth,algal growth,,,plant growth,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AlgalGrowth,
https://soilwise-he.github.io/soil-health#Aluminium,aluminium,,,toxic elements,,
https://soilwise-he.github.io/soil-health#AluminiumExchangeableBase,aluminium exchangeable base,,Aluminium ions bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,aluminium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluexc,
https://soilwise-he.github.io/soil-health#AluminiumExtractableElements,aluminium extractable elements,aluminium extractable element,Aluminium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),aluminium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluext,
https://soilwise-he.github.io/soil-health#AluminiumTotalElements,aluminium total elements,aluminium total element,"Total concentration of aluminium in the soil, including both soluble and insoluble forms, typically measured after complete digestion of the soil sample.",aluminium,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alutot,
https://soilwise-he.github.io/soil-health#Animal,animal,,,living entity,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#Animal,
https://soilwise-he.github.io/soil-health#AntecedentSoilMoistureContents,antecedent soil moisture contents,antecedent soil moisture content,,soil moisture contents,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AntecedentSoilMoistureContent,
https://soilwise-he.github.io/soil-health#AtmosphericPressure,atmospheric pressure,,,pressure,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AtmosphericPressure,
https://soilwise-he.github.io/soil-health#AttractiveForce,attractive force,,,force,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#AttractiveForce,
https://soilwise-he.github.io/soil-health#AvailableWaterHoldingCapacity,available water holding capacity,,"Available water capacity (AWC) measures the volume of water soil can retain between field capacity and the permanent wilting point. It represents the water accessible to plants for uptake. High AWC supports better plant growth, while low AWC may necessitate irrigation. Source: USDA NRCS.",soil water holding capacity,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Avavol,
https://soilwise-he.github.io/soil-health#BaseSaturation,base saturation,,"Base saturation represents the percentage of the soil's cation exchange capacity (CEC) occupied by basic cations such as calcium (Ca²⁺), magnesium (Mg²⁺), potassium (K⁺), and sodium (Na⁺). Higher base saturation typically correlates with higher fertility and a greater ability to supply essential nutrients to plants. This parameter also influences soil pH buffering capacity. Source: Brady & Weil (2017).",SoilChemicalProperty,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bascal,
https://soilwise-he.github.io/soil-health#Biochannel,biochannel,,,soil pores,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#Biochannel,
https://soilwise-he.github.io/soil-health#BiologicalAbundance,biological abundance,,"The Biological Abundance evaluates the presence and quantity of soil organisms, such as microbes, insects, and earthworms. This property reflects soil health, nutrient cycling, and organic matter decomposition, which are vital for maintaining soil fertility. Source: Lavelle, P., & Spain, A.V. (2001). Soil Ecology.",soil biology,http://w3id.org/glosis/model/layerhorizon/biologicalAbundanceProperty,
